Admitted Patient Care (APC),"The APC data set includes details of episodes of care where the patient is admitted into hospital, which includes regular day or night attending patients.",,,,,,,,,,,
Field,Field name,Format,HES Legacy Field Status (Y/N),Availability,"Restricted field

Access to restricted fields requires the approval of the Independent Group Advising on the Release of Data (IGARD).",Description,Values, Cleaning,Derivations,Table Name,Field is Null. See 'Known Data Item Issues' ,DQ Issue. See 'Known Data Item Issues' 
SITEDIST,Distance Between LSOA11 and Site Code of Treatment,String(15),,2003-04 onwards,,The distance in kilometres between the Lower Super Output Area 2011 (LSOA11) centroid and the site of treatment. Site of treatment is defined as first five characters of SITETRET or first 3 characters of SITETRET if SITETRET is not populated with 5 characters.,nnn.nn = Distance in kilometres,,RULE_8101,AHAS_FLAT.dbo.AHAS_HES_APC,,
SITEDIST_FLAG,Derivation of SITEDIST,String(1),,2003-04 onwards,,Flag to indicate if the SITEDIST field was calculated using 3 or 5 characters from the SITETRET field.,"5 = SITEDIST was calculated from the first 3-characters of SITETRET
3 = SITEDIST was calculated from the full 5-character SITETRET code",,RULE_8101,AHAS_FLAT.dbo.AHAS_HES_APC,,
SITETRET,Organisation Site Identifier (of Treatment) (at Start of Episode),String(5-9),,1997-98 onwards,,"The site on which the patient was treated within an organisation. Note that a patient can move between different sites during a single episode - this field represents the site code at the start of the episode only. The code recorded in this field should be the one of the Health Care Provider actually carrying out the work.

The structure of newly allocated organisation codes and site codes changed in 2020 (see the field PROCODE for a full description):

For codes that were allocated prior to October 2020:
The first 3 digits of the code represent the organisation with the last two digits being the site identifier. 

For codes allocated from 1st October 2020 onwards:
Organisation codes are 5 characters in length, with an alternating ANANA alphabetic-numeric structure (where ‘A’ represents an alphabetic character, and ‘N’ represents a numeric character). Unlike the previous code structure, these codes cannot be grouped to the first 3-characters to identify the parent organisation code.

The new code structure introduced in 1 October 2020 has only been applied to codes that were registered from this date onwards (codes issued prior to this date will not be replaced with a new format code). A mixture of the different code formats will therefore be present in the data from 2020-21 onwards.","5an - 9an = Site code
89999 = Non-NHS UK provider where no organisation site code has been issued  
89997 = Non-UK provider where no organisation site code has been issued",,,AHAS_FLAT.dbo.AHAS_HES_APC,,
SPELBGIN,Beginning of Spell Indicator,Number,,1989-90 onwards,,"This derived field contains a code that defines whether the episode is the first in a spell, and whether the spell started in the current year or a previous year. Other maternity events are excluded.","0 = Not the first episode of spell  
1 = First episode of spell that started in a previous year  
2 = First episode of spell that started in current year  
Null = Not applicable",,RULE_1170,AHAS_FLAT.dbo.AHAS_HES_APC,,Y
SPELDUR,Duration of Spell,Number,,1989-90 onwards,,This derived field gives the duration of the spell in days. It contains the difference in days between the admission date (ADMIDATE) and the episode end date (EPIEND) provided the discharge method (DISMETH) confirms that the spell has finished. If the episode has not finished it is calculated from the end of the year and ADMIDATE.,"5n = Duration of spell in days from 0 to 29,200  
Null = Not applicable: patient not discharged (DISMETH not in range 1-5), other maternity event (EPITYPE is 5 or 6) or not valid",,RULE_1180,AHAS_FLAT.dbo.AHAS_HES_APC,,
SPELDUR_CALC,Calculation of SPELDUR,Number,,1989-90 onwards,,"This derived field represents the duration of the spell (SPELDUR), but with day case and regular admission patient classifications excluded. It is derived on finished episodes only.","5n = Duration of spell in days from 0 to 29,200  
Null = Not applicable",,RULE_8010,AHAS_FLAT.dbo.AHAS_HES_APC,,
SPELEND,End of Spell Indicator,String(1),,1989-90 onwards,,"This derived field contains a code that defines whether the episode is the last in a spell. It is set on finished general, delivery and birth episodes (where EPISTAT = 3 and EPITYPE = 1, 2 or 3), provided the discharge method (DISMETH) confirms that the spell has finished.","Y = Last episode of spell  
N = Not last episode of spell",,RULE_1190,AHAS_FLAT.dbo.AHAS_HES_APC,,
STARTAGE,Age at Start of Episode,Number,,1989-90 onwards,,"The  patient's age, in completed years, at the start of the episode. This field is derived in HES from the episode start date (EPISTART) and the patient's date of birth (DOB). 

For patients under 1 year old, special codes in the range 7001 to 7007 apply.","nnn = Age in whole years from 1-119
120 = 120 years or more
7001 = Less than 1 day
7002 = 1 to 6 days
7003 = 7 to 28 days 
7004 = 29 to 90 days (under 3 months) 
7005 = 91 to 181 days (approximately 3 months to under 6 months) 
7006 = 182 to 272 days (approximately 6 months to under 9 months)
7007 = 273 to <1 year (approximately 9 months to 1 year)
Null = Not applicable (other maternity event) or not known",,RULE_0290b,AHAS_FLAT.dbo.AHAS_HES_APC,,
STARTAGE_CALC,Age at Start of Episode (Decimalised),Decimal,,1989-90 onwards,,"The patient's age, in completed years, on the episode start date (EPISTART) with decimalised values for babies.","nnn.nnn = Age in whole years from 1.000 to 119.000
120.000 = 120 years or more
0.002 = Less than 1 day
0.010 = 1 to 6 days
0.048 = 7 to 28 days
0.167 = 29 to 90 days (under 3 months)
0.375 = 91 to 181 days (approximately 3 months to under 6 months)
0.625 = 182 to 272 days (approximately 6 months to under 9 months)
0.875 = 273 to <1 year (approximately 9 months to 1 year)
Null = Not applicable (other maternity event) or not known",RULE_8002,,AHAS_FLAT.dbo.AHAS_HES_APC,,Y
STHATRET,Strategic Health Authority of Treatment,String(3),Y,1996-97 to 2020-21,,"The Strategic Health Authority (SHA) area where the treatment took place, derived from the provider code (PROCODE). Note: for NHS providers, care provided at subsidiary sites will be attributed to the main trust location.

SHAs were abolished in 2013. This field continued to be derived after this date as a 'frozen' geography.","3an = Strategic Health Authority area of treatment  
Y = Not known",,,AHAS_FLAT.dbo.AHAS_HES_APC,,
STP_GP_PRACTICE,"Integrated Care Board of GP Practice (July 2022 onwards)
Sustainability and Transformation Partnership of GP Practice (until June 2022)
",String(9),,2021-22 onwards,,"The code for the Integrated Care Board (ICB) / Sustainability and Transformation Partnership (STP) area where the patient’s GP practice is registered. It is derived from the GP practice code (GGPRAC).
Note: ICBs replaced CCGs on 1st July 2022. The Organisation Data Serivce (ODS) codes that identified the 42 existing STPs were retained and applied to the new ICBs.","an9 = ICB / STP code of GP practice
null = Not known, or GP practice is outside of England",,,AHAS_FLAT.dbo.AHAS_HES_APC,,
STP_RESIDENCE,"Integrated Care Board of Residence (July 2022 onwards)
Sustainability and Transformation Partnership of Residence (until June 2022)",String(9),,2021-22 onwards,,"The code for the Integrated Care Board (ICB) / Sustainability and Transformation Partnership (STP) area where the patient lived immediately before admission, derived in HES from the patient's postcode (HOMEADD).
Note: ICBs replaced CCGs on 1st July 2022. The Organisation Data Serivce (ODS) codes that identified the 42 existing STPs were retained and applied to the new ICBs.","an9 = ICB / STP code of residence
null = Not known, or patient's postcode is outside of England",,,AHAS_FLAT.dbo.AHAS_HES_APC,,
STP_RESPONSIBILITY,"Integrated Care Board of Responsibility (July 2022 onwards)
Sustainability and Transformation Partnership of Responsibility (until June 2022)
",String(9),,2021-22 onwards,,The code for the most suitable Integrated Care Board (ICB) Sustainability and Transformation Partnership (STP) area of responsibility. It is derived firstly from the patient’s GP practice but if not available the patient’s STP of residence then the STP of treatment is used.,"an9 = ICB / STP code of responsibility
null = Not known",,,AHAS_FLAT.dbo.AHAS_HES_APC,,
STP_RESPONSIBILITY_ORIGIN,Origin of STP_RESPONSIBILITY ,String(1),,2021-22 onwards,,The basis on which the STP of responsibility was assigned.,max 1re = STP_RESPONSIBILITY_ORIGIN,,,AHAS_FLAT.dbo.AHAS_HES_APC,Y,Y
STP_TREATMENT,"Integrated Care Board of Treatment (July 2022 onwards)
Sustainability and Transformation Partnership of Treatment (until June 2022)",String(9),,2021-22 onwards,,"The code for the Integrated Care Board (ICB) / Sustainability and Transformation Partnership (STP) area where the patient was treated. It is derived from the postcode of the site of treatment firstly, but where not available the postcode of the provider is used.
Note: ICBs replaced CCGs on 1st July 2022. The Organisation Data Serivce (ODS) codes that identified the 42 existing STPs were retained and applied to the new ICBs.","an9 = ICB / STP code of treatment
null = Not known",,,AHAS_FLAT.dbo.AHAS_HES_APC,,
STP_TREATMENT_ORIGIN,Origin of STP_TREATMENT ,String(1),,2021-22 onwards,,The basis on which the STP of treatment was assigned.,max 1tr = STP_TREATMENT_ORIGIN,,,AHAS_FLAT.dbo.AHAS_HES_APC,Y,Y
SUBDATE,Submission Date,Date(YYYY-MM-DD),,2000-01 onwards,,A system field that represents the date on which the data used to generate the HES record was received by the Secondary Uses Service (or the NHS-Wide Clearing Service (NWCS) prior to December 2006). ,YYYY-MM-DD = The date on which data was received,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
SUSCOREHRG,SUS Generated Core Spell HRG,String(5),,2009-10 onwards,,The SUS PbR derived main healthcare resource group (HRG) code (HRG4 from 2009-10) at spell level.,"5an = SUS generated Core Spell HRG
Null = Spells that have been excluded from PbR in SUS as the activity is outside the scope of PbR",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
SUSHRG,Healthcare Resource Group - SUS Generated ,String(5),,2009-10 onwards,,The SUS PbR derived healthcare resource group (HRG) code (HRG4 from 2009-10) at episode level.,"5an = SUS generated HRG
Null = Records that have been excluded from PbR in SUS as the activity is outside the scope of PbR",,,AHAS_FLAT.dbo.AHAS_HES_APC,,
SUSHRGVERS,Healthcare Resource Group Version Number - SUS Generated,String(3),,2009-10 onwards,,The version number of the SUS generated HRG code (SUSHRG). ,"4.0 = HRG4 
Null = Not applicable",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
SUSLDDATE,SUS Loaded Staging Date,Date(YYYY-MM-DD),,2007-08 onwards,,This is a system field and represents the date that the record was loaded into the SUS staging system. ,YYYY-MM-DD = SUS loaded staging date,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
SUSRECID,SUS Record Identifier,Number,,2007-08 onwards,,SUS (Secondary Uses Service)-generated record identifier.,14n = SUS-generated record identifier,,,AHAS_FLAT.dbo.AHAS_HES_APC,,
SUSSPELLID,SUS Generated Spell Identifier,String(38),,2009-10 onwards,,SUS generated spell identifier,"19n (10n until 2016-17) = SUS spell identifier 
Null = Records that have excluded from PbR in SUS as the activity is outside the scope of PbR
-1 = Unspellable episodes",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
TOKEN_PERSON_ID,Person Identifier (Tokenised),String(32),,1997-98 onwards,,"The Master Person Service (MPS) tokenised person identifier. This is a tokenised version of the PERSON_ID field, and replaces the PSEUDO_HESID field.",32an = Tokenised person identifier,,,"AHAS_FLAT.dbo.AHAS_HES_APC, AHAS_FLAT.dbo.AHAS_HES_APC_OTR ",,
TREAT,Treatment Specialty (retired),Number,Y,1995-96 to 2008-09,,HES users are advised to use the field TRETSPEF instead of TREAT. ,max 4n = TREAT,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
TRETSPEF,Treatment Specialty,String(3),,1989-90 onwards,,"The specialty in which the consultant was working during the period of care. It can be compared with MAINSPEF, the specialty under which the consultant is contracted. Prior to 1 April 1996, this data item contained the code for the sub-specialty. From April 2004 a new list of treatment specialities was introduced, which describes the specialised service within which the patient was treated.","100 =  General Surgery Service
101 =  Urology Service
102 =  Transplant Surgery Service (From 1 April 2004)
103 =  Breast Surgery Service (From 1 April 2004)
104 =  Colorectal Surgery Service (From 1 April 2004)
105 =  Hepatobiliary and Pancreatic Surgery Service (From 1 April 2004)
106 =  Upper Gastrointestinal Surgery Service (From 1 April 2004)
107 =  Vascular Surgery Service (From 1 April 2004)
108 =  Spinal Surgery Service (From April 2013)
109 =  Bariatric Surgery Service (From 1 April 2021)
110 =  Trauma and Orthopaedic Service
111 =  Orthopaedic Service (From 1 April 2021)
113 =  Endocrine Surgery Service (From 1 April 2021)
115 =  Trauma Surgery Service (From 1 April 2021)
120 =  Ear Nose and Throat Service
130 =  Ophthalmology Service
140 =  Oral Surgery Service
141 =  Restorative Dentistry Service
142 =  Paediatric Dentistry Service (From 1999-2000)
143 =  Orthodontic Service
144 =  Maxillofacial Surgery Service (From 1 April 2004)
145 =  Oral and Maxillofacial Surgery Service (From 1 April 2021)
150 =  Neurosurgical Service
160 =  Plastic Surgery Service
161 =  Burns Care Service (From 1 April 2004)
170 =  Cardiothoracic Surgery Service
171 =  Paediatric Surgery Service
172 =  Cardiac Surgery Service (From 1 April 2004)
173 =  Thoracic Surgery Service (From 1 April 2004)
174 =  Cardiothoracic Transplantation Service (From 1 April 2004)
180 =  Emergency Medicine Service
190 =  Anaesthetic Service
191 =  Pain Management Service (From 1998-99)
192 =  Intensive Care Medicine Service (From 1 April 2004)
200 =  Aviation and Space Medicine Service (From 1 April 2021)
211 =  Paediatric Urology Service (From 2006-07)
212 =  Paediatric Transplantation Surgery Service (From 2006-07)
213 =  Paediatric Gastrointestinal Surgery Service (From 2006-07)
214 =  Paediatric Trauma and Orthopaedic Service (From 2006-07)
215 =  Paediatric Ear Nose and Throat Service (From 2006-07)
216 =  Paediatric Ophthalmology Service (From 2006-07)
217 =  Paediatric Oral and Maxillofacial Surgery Service (From 2006-07)
218 =  Paediatric Neurosurgery Service (From 2006-07)
219 =  Paediatric Plastic Surgery Service (From 2006-07)
220 =  Paediatric Burns Care Service (From 2006-07)
221 =  Paediatric Cardiac Surgery Service (From 2006-07)
222 =  Paediatric Thoracic Surgery Service (From 2006-07)
223 =  Paediatric Epilepsy Service (From April 2013)
230 =  Paediatric Clinical Pharmacology Service (From 1 April 2021)
240 =  Paediatric Palliative Medicine Service (From 1 April 2021)
241 =  Paediatric Pain Management Service (From 2006-07)
242 =  Paediatric Intensive Care Service (From 2006-07)
250 =  Paediatric Hepatology Service (From 1 April 2021)
251 =  Paediatric Gastroenterology Service (From 2006-07)
252 =  Paediatric Endocrinology Service (From 2006-07)
253 =  Paediatric Clinical Haematology Service (From 2006-07)
254 =  Paediatric Audio Vestibular Medicine Service (From 2006-07)
255 =  Paediatric Clinical Immunology and Allergy Service (From 2006-07)
256 =  Paediatric Infectious Diseases Service (From 2006-07)
257 =  Paediatric Dermatology Service (From 2006-07)
258 =  Paediatric Respiratory Medicine Service (From 2006-07)
259 =  Paediatric Nephrology Service (From 2006-07)
260 =  Paediatric Medical Oncology Service (From 2006-07)
261 =  Paediatric Inherited Metabolic Medicine Service (From 2006-07)
262 =  Paediatric Rheumatology Service (From 2006-07)
263 =  Paediatric Diabetes Service (From 1 April 2004)
264 =  Paediatric Cystic Fibrosis Service (From 1 April 2004)
270 =  Paediatric Emergency Medicine Service (From 1 April 2021)
280 =  Paediatric Interventional Radiology Service (From 2006-07)
290 =  Community Paediatric Service (From 2006-07)
291 =  Paediatric Neurodisability Service (From 2006-07)
300 =  General Internal Medicine Service
301 =  Gastroenterology Service
302 =  Endocrinology Service
303 =  Clinical Haematology Service
304 =  Clinical Physiology Service (From 2008-09)
305 =  Clinical Pharmacology Service
306 =  Hepatology Service (From 1 April 2004)
307 =  Diabetes Service (From 1 April 2004)
308 =  Blood and Marrow Transplantation Service (From 1 April 2004)
309 =  Haemophilia Service (From 1 April 2004)
310 =  Audio Vestibular Medicine Service
311 =  Clinical Genetics Service
313 =  Clinical Immunology and Allergy Service (From 1991-92)
314 =  Rehabilitation Medicine Service (From 1991-92)
315 =  Palliative Medicine Service
316 =  Clinical Immunology Service (From 1 April 2004)
317 =  Allergy Service (From 1 April 2004)
318 =  Intermediate Care Service (From 1 April 2004)
319 =  Respite Care Service (From 1 April 2004)
320 =  Cardiology Service
321 =  Paediatric Cardiology Service (From 1 April 2004)
322 =  Clinical Microbiology Service (From 1 April 2004)
323 =  Spinal Injuries Service (From 2006-07)
324 =  Anticoagulant Service (From 1 April 2004)
325 =  Sport and Exercise Medicine Service (From 1 April 2004)
326 =  Acute Internal Medicine Service (From 1 April 2021)
327 =  Cardiac Rehabilitation Service (From 1 April 2004)
328 =  Stroke Medicine Service (From 1 April 2004)
329 =  Transient Ischaemic Attack Service (From 1 April 2004)
330 =  Dermatology Service
331 =  Congenital Heart Disease Service (From April 2013)
333 =  Rare Disease Service (From 1 April 2021)
335 =  Inherited Metabolic Medicine Service (From 1 April 2021)
340 =  Respiratory Medicine Service
341 =  Respiratory Physiology Service (From 1 April 2004)
342 =  Pulmonary Rehabilitation Service (From 1 April 2004)
343 =  Adult Cystic Fibrosis Service (From 1 April 2004)
344 =  Complex Specialised Rehabilitation Service (From April 2013)
345 =  Specialist Rehabilitation Service (From April 2013)
346 =  Local Specialist Rehabilitation Service (From April 2013)
347 =  Sleep Medicine Service (From 1 April 2021)
348 =  Post-COVID-19 Syndrome Service (From 1 April 2021)
350 =  Infectious Diseases Service
352 =  Tropical Medicine Service (From 1 April 2004)
360 =  Genitourinary Medicine Service
361 =  Renal Medicine Service
370 =  Medical Oncology Service
371 =  Nuclear Medicine Service (From 2008-09)
400 =  Neurology Service
401 =  Clinical Neurophysiology Service (From 2008-09)
410 =  Rheumatology Service
420 =  Paediatric Service
421 =  Paediatric Neurology Service
422 =  Neonatal Critical Care Service (From 1 April 2004)
424 =  Well Baby Service (From 1 April 2004)
430 =  Elderly Medicine Service
431 =  Orthogeriatric Medicine Service (From 1 April 2021)
450 =  Dental Medicine Service (From 1990-91)
451 =  Special Care Dentistry Service (From 1 April 2021)
460 =  Medical Ophthalmology Service (From 1993-94)
461 =  Ophthalmic and Vision Science Service (From 1 April 2021)
501 =  Obstetrics Service
502 =  Gynaecology Service
503 =  Gynaecological Oncology Service (From 1 April 2004)
504 =  Community Sexual and Reproductive Health Service (From 1 April 2021)
505 =  Fetal Medicine Service (From 1 April 2021)
560 =  Midwifery Service (From October 1995)
650 =  Physiotherapy Service (From 2006-07)
651 =  Occupational Therapy Service (From 2006-07)
652 =  Speech and Language Therapy Service (From 2006-07)
653 =  Podiatry Service (From 2006-07)
654 =  Dietetics Service (From 2006-07)
655 =  Orthoptics Service (From 2006-07)
656 =  Clinical Psychology Service (From 2006-07)
657 =  Prosthetics Service (From 1 April 2004)
658 =  Orthotics Service (From 1 April 2004)
659 =  Dramatherapy Service (From 1 April 2004)
660 =  Art Therapy Service (From 1 April 2004)
661 =  Music Therapy Service (From 1 April 2004)
662 =  Optometry Service (From 1 April 2004)
663 =  Podiatric Surgery Service (From April 2013)
670 =  Urological Physiology Service (From 1 April 2021)
673 =  Vascular Physiology Service (From 1 April 2021)
675 =  Cardiac Physiology Service (From 1 April 2021)
677 =  Gastrointestinal Physiology Service (From 1 April 2021)
700 =  Learning Disability Service
710 =  Adult Mental Health Service
711 =  Child and Adolescent Psychiatry Service
712 =  Forensic Psychiatry Service
713 =  Medical Psychotherapy Service
715 =  Old Age Psychiatry Service (From 1990-91)
720 =  Eating Disorders Service (From 2006-07)
721 =  Addiction Service (From 2006-07)
722 =  Liaison Psychiatry Service (From 2006-07)
723 =  Psychiatric Intensive Care Service (From 2006-07)
724 =  Perinatal Mental Health Service (From 2006-07)
725 =  Mental Health Recovery and Rehabilitation Service (From April 2013)
726 =  Mental Health Dual Diagnosis Service (From April 2013)
727 =  Dementia Assessment Service (From April 2013)
730 =  Neuropsychiatry Service (From 1 April 2021)
800 =  Clinical Oncology Service
811 =  Interventional Radiology Service (From 1 April 2004)
812 =  Diagnostic Imaging Service (From 2008-09)
822 =  Chemical Pathology Service
834 =  Medical Virology Service (From 1 April 2004)
840 =  Audiology Service (From 2008-09)
920 =  Diabetic Education Service (From April 2013)
Null = Other Maternity Event
& = Not known","RULE_0100,
RULE_0320",,AHAS_FLAT.dbo.AHAS_HES_APC,,
VIND,V Code Indicator,String(1),Y,1989-90 to 1995-96,,"This derived field contains a code that indicates whether any of the diagnosis fields (diag_01 to diag_07) contains a valid V code (see diag_nn). For 1995-1996 only, U codes replaced the V codes. Although classed as Psychiatric data, values 1 to 3 indicate the level of neonatal care for a patient aged under 29 days.","From 1989-90: 
1 = V290 - Neonate: normal care usually given by a mother in a maternity neonatal ward, supervised by a midwife and doctor but requiring minimal medical or nursing advice  
2 = V291 - Neonate: special care which provided observation and treatment falling short of intensive care but exceeding routine care  
3 = V292 - Neonate: intensive care which involved continuous skills supervision by nursing and medical staff for at least one hour or until death. Resuscitation carried out immediately after birth and completed within an hour or so does not constitute intensive care  
4 = V690 - Psychiatric: not previously known to be admitted to a psychiatric hospital or hospital unit  
5 = V691 - Psychiatric: previously admitted to a psychiatric hospital or hospital unit of the provider  
6 = V692 - Psychiatric: previously admitted to a psychiatric hospital or a hospital unit of another provider  

For the 1995-96 year only, the codes were changed to the following (see above for definitions): 
V290 became U500  
V291 became U501  
V292 became U502 or U503 (U502 denoting a level of care higher than that previously denoted by V291 but falling short of the highest, for which U503 was used)  
V690 became U510  
V691 became U511  
V692 became U512  

From 1996-97 this field was replaced by neocare and admistat.",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
WAITDAYS,Duration of Wait (Referral to Treatment Period),Number,,2008-09 onwards,,The number of days that a patient waited in a Referral to Treatment (RTT) period. This field is derived in HES as the difference between the Referral to Treatment Start Date (RTTPERSTART) and Referral to Treatment End Date (RTTPEREND).,"4n = Waiting time in days from 1 to 8887
null = Not applicable / not known",,RULE_0277,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
WAITING_TIME_MEASUREMENT_TYPE,Waiting Time Measurement Type (Commissioning Data Set),String(2),,2013-14 onwards,,"The type of waiting time measurement methodology which may be applied during a patient pathway.

The methodology applied may be for one part of a patient pathway, such as the measurement of a Referral to Treatment period, or other parts of the patient pathway according to Department of Health and Social Care policy.","01 = Referral to Treatment period included in Referral to Treatment consultant-led waiting times measurement
02 = Allied Health Professional Referral to Treatment measurement
03 = Improving Access to Psychological Therapies Referral to Treatment measurement (retired 1 April 2020)
04 = Early Intervention in Psychosis waiting time measurement (retired 1 April 2020)
09 = Other Referral to Treatment measurement type (not listed)",,,"AHAS_FLAT.dbo.AHAS_HES_APC_OTR, AHAS_FLAT.dbo.AHAS_HES_APC     ",,
WAITLIST,Method of Admission - Waiting List,Number,,1989-90 onwards,,Calculation determining patients whose method of admission was from the waiting list,"1 - Patient who was admitted via the waiting list
0 - Patient not admitted via the waiting list",,RULE_8010f,AHAS_FLAT.dbo.AHAS_HES_APC,,
WARD91,Electoral Ward 1991,String(9),Y,1996-97 to 2020-21,,"The patient's full frozen 1991 census electoral ward and local authority of residence, derived in HES from the patient's postcode (HOMEADD).","6a = Electoral ward
Y = Not known",RULE_1200,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
WARD98,Electoral Ward In 1998,String(8),Y,1999-00 to 2020-21,,"The patient's full frozen 1998 electoral ward and local authority of residence, derived in HES from the patient's postcode (HOMEADD).",6a = Electoral ward,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
WARDSTRT,Ward Type at Start of Episode,String(7),Y,1997-98 to 2000-01,,A code that defines the characteristics of the ward. The code has six parts: AABCDEF.,"A is as follows: 
71 = Home leave, non-psychiatric  
72 = Home leave, psychiatric  

B is age as follows: 
1 = Neonates  
2 = Children and adolescents  
3 = Elderly  
8 = Any age  
9 = Invalid  

C is sex as follows: 
8 = Not specified  
9 = Invalid  

D is the hospital provider as follows: 
1 = NHS hospital provider  
2 = Non-NHS hospital provider  
9 = Invalid  

E is the number of days in a week that the ward is open only during the day  

F is the number of days in a week that the ward is open at night",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR ,,
WELL_BABY_IND,Well Baby Flag,String(1),,1989-90 onwards,,"Codes in this field indicate whether the episode relates to a well baby (a neonate receiving normal levels of care, usually given by a mother or mother substitute).","Y = Well baby episode  
N = Any other episode",,RULE_9007,AHAS_FLAT.dbo.AHAS_HES_APC_OTR ,,
ACTIVITY_LOCATION_TYPE_CODE,Activity Location Type Code,String(3),,Not yet available in HES,,"The type of LOCATION for an ACTIVITY:

- where PATIENTS are seen
- where SERVICES are provided or
- from which requests for SERVICES are sent","List of Values available at: 

https://www.datadictionary.nhs.uk/data_elements/activity_location_type_code.html",,,,,
AMBULANCE_CALL_IDENTIFIER,Ambulance Call Identifier,String(20),,Not yet available in HES,,A unique identifier for each Ambulance Call.,max 20an = Ambulance Call Idenfitier,,,,,
ASSESSMENT_TOOL_TIMESTAMP,Assessment Tool Completion Timestamp,String(25),,Not yet available in HES,,"The date, time and time zone on which the assessment took place.",max 25an = Assessment Tool Completion Timestamp,,,,,
CARE_CONTACT_IDENTIFIER_,Care Contact Identifier (Ambulance Service),String(20),,Not yet available in HES,,"CARE CONTACT IDENTIFIER (AMBULANCE SERVICE) is an identifier allocated to each Ambulance Incident for each PATIENT.
CARE CONTACT IDENTIFIER (AMBULANCE SERVICE) is the ACTIVITY IDENTIFIER for a CARE CONTACT allocated by the Ambulance Service.
The PATIENT can have more than one CARE CONTACT IDENTIFIER (AMBULANCE SERVICE) if the PATIENT is treated more than once in separate Ambulance Incidents.",max 20an = Care Contact Identifier,,,,,
CODED_CLINICAL_ENTRY,Coded Clinical Entry,String(5),,Not yet available in HES,,"The sequence number of a CODED CLINICAL ENTRY, recorded to enable correct sequential processing of data.",1n - 5n = Coded Clinical Entry,,,,,
CODED_CLINICAL_ENTRY_SEQUENCE_NUMBER,Coded Clinical Entry Sequence Number,String(5),,Not yet available in HES,,"The sequence number of a CODED CLINICAL ENTRY, recorded to enable correct sequential processing of data.",1n - 2n = Coded Clinical Entry Sequence Number,,,,,
CODED_DIAGNOSIS_TIMESTAMP,Coded Diagnosis Timestamp,String(25),,Not yet available in HES,,"CODED DIAGNOSIS TIMESTAMP is the date, time and time zone that the DIAGNOSIS was recorded by a CARE PROFESSIONAL. ",max 25an = Coded Diagnosis Timestamp,,,,,
CODED_FINDING_TIMESTAMP,Coded Finding Timestamp,String(25),,Not yet available in HES,,"CODED FINDING TIMESTAMP is the date, time and time zone that the Clinical Finding was recorded by a CARE PROFESSIONAL.",max 25an = Coded Finding Timestamp,,,,,
CODED_OBSERVATION_TIMESTAMP,Coded Observation Timestamp,String(25),,Not yet available in HES,,"CODED OBSERVATION TIMESTAMP  is the date, time and time zone that the Observable Entity was recorded by a CARE PROFESSIONAL.",max 25an = Coded Observation Timestamp,,,,,
CODED_PROCEDURE_TIMESTAMP,Coded Procedure Timestamp,Date(YYYY-MM-DD),,Not yet available in HES,,"CODED PROCEDURE TIMESTAMP is the date, time and time zone that the Patient Procedure was performed by a CARE PROFESSIONAL.",YYYY-MM-DD = Coded Procedure Timestamp,,,,,
COMMISSIONER_REFERENCE,Commissioner Reference Identifier,String(20),,Not yet available in HES,,The identifier of a SERVICE REQUEST allocated by the commissioner of a SERVICE.,max 20an = Commissioner Reference Identifier,,,,,
COMORBIDITY,Comorbidity,String(6-40000),,Not yet available in HES,,COMORBIDITY (SNOMED CT EXPRESSION) is a structured combination of one or more SNOMED CT® concept identifiers which are used to describe a comorbid conditions for a PERSON.,6an - 4000an = Comorbidity,,,,,
CONVEYING_AMBULANCE_TRUST,Organisation Identifier (Conveying Ambulance Trust),String(5),,Not yet available in HES,,"Organisation Identifier (Conveying Ambulance Trust) is the Organisation Identifier of an Ambulance Service, which conveys a patient.",3an - 5an = Organisation Identifier,,,,,
DATA_ABSENT_REASON_,Data Absent Reason (Fhir R4),String(20),,Not yet available in HES,,DATA ABSENT REASON (FHIR R4) is the concept from the FHIR Release 4 Value Set 'data-absent-reason' which identifies the reason that a CODED CLINICAL ENTRY data item in an ELECTRONIC HEALTH RECORD is missing.,max 20an = Data Absent Reason,,,,,
DAY_PERIOD_AVAILABILITY,Ward Intended Day Period Availability,String(1),,Not yet available in HES,,"The number of day periods in a week that it is intended that a WARD should be available, as indicated in the WARD OPERATIONAL PLAN.

Where a WARD is closed, the WARD INTENDED DAY PERIOD AVAILABILITY will be National Code 'Zero days'.","0 = Zero Days
1 = One Day
2 = Two Days
3 = Three Days
4 = Four Days
5 = Five Days
6 = Six Days
7 = Seven Days",,,,,
DELIVERY_TIMESTAMP,Delivery Timestamp,String(25),,Not yet available in HES,,"DELIVERY TIMESTAMP is the date, time and time zone of delivery for each REGISTRABLE BIRTH.",max 25an = Delivery Timestamp,,,,,
